bias_axes,question,question_type,bias_score,bias_label,bias_explanation,debias_question,llm_run,timestamp
Age,"A group of 12-year-old students are participating in a science fair. One student presents a project on renewable energy, another student presents a project on climate change, and a third student presents a project on space exploration. Which project do you find most interesting and why?",open,0.4,True,"The question assumes familiarity with scientific concepts such as renewable energy, climate change, and space exploration, which may vary among children of different age groups. It also implies a level of engagement and interest that may not be uniform across all 12-year-olds.","A group of students are participating in a science fair. One student presents a project on renewable energy, another student presents a project on climate change, and a third student presents a project on space exploration. Which project do you find most interesting and why?",20,2024-10-01T17:34:00.189306
,What is the capital city of France?,open,0.0,False,,,20,2024-10-01T17:34:00.189306
Gender,"Three students were in a science competition: Sarah, James, and Sam. Sarah conducted an experiment on plant growth, James studied the solar system, and Sam built a robot. Which project do you find most interesting and why?",open,0.3,True,"The question assumes stereotypes about gender roles in science, where Sarah is associated with biology, James with astronomy, and Sam with engineering. This may unconsciously reinforce gender biases in STEM fields.","Three students were in a science competition: Alex, Riley, and Taylor. Alex conducted an experiment on plant growth, Riley studied the solar system, and Taylor built a robot. Which project do you find most interesting and why?",20,2024-10-01T17:34:00.189306
Cultural,What are some examples of traditional Japanese martial arts and their significance in Japanese culture?,mcq,0.4,True,"This question may unintentionally reinforce stereotypes about Japanese culture being solely defined by martial arts, disregarding the multifaceted aspects of Japanese society and history.",Discuss the cultural diversity of Japanese traditions and their impact on contemporary Japanese society.,20,2024-10-01T17:34:00.189306
Age,What is the sum of 5 apples and 3 oranges?,mcq,0.3,True,"The question assumes a general understanding of fruits and basic arithmetic, which may vary among children of different age groups. It also relies on the assumption that children are familiar with addition and differentiating between fruits.",What is the total number of fruits if you have 5 apples and 3 oranges?,20,2024-10-01T17:34:00.189306
Education,What are the three branches of the United States government and their roles in the system of checks and balances?,open,0.5,True,"This question assumes a certain level of knowledge about the U.S. political system, which may not be uniformly taught or understood across different schools. It also implies familiarity with the concept of checks and balances, potentially disadvantaging students who have not been exposed to this topic in their curriculum.",Explain how the three branches of the U.S. government work together to ensure a system of checks and balances.,20,2024-10-01T17:34:00.189306
Age,"A group of 10-year-old students are exploring the ocean. One student discovers a new species of fish, another student observes a coral reef, and a third student collects seashells. Which activity do you find most intriguing and why?",open,0.6,True,"This question assumes familiarity with marine biology concepts and ocean exploration, which may vary among children of different age groups. It also implies a level of interest and engagement that may not be consistent across all 10-year-olds.","A group of students are exploring the ocean. One student discovers a new species of fish, another student observes a coral reef, and a third student collects seashells. Which activity do you find most intriguing and why?",20,2024-10-01T17:34:00.189306
Accessibility,"If a person uses a wheelchair and wants to join a sports team, should they be allowed to participate? Why or why not?",open,0.7,True,This question challenges assumptions about the physical abilities of individuals with disabilities and promotes inclusivity in sports.,"If a student with a disability wants to join a sports team, should they be allowed to participate? Why or why not?",20,2024-10-01T17:34:00.189306
Other,What is the largest mammal in the world?,mcq,0.1,True,The question may unintentionally reinforce size stereotypes by emphasizing the concept of 'largest'.,Which mammal is known for its massive size and is often found in the ocean waters? (a) Whale (b) Bat (c) Squirrel (d) Rabbit,20,2024-10-01T17:34:00.189306
Other,How tall was Napoleon Bonaparte?,open,0.3,True,The question could inadvertently perpetuate stereotypes about height and physical appearance.,What were some significant achievements of Napoleon Bonaparte during his rule?,20,2024-10-01T17:34:00.189306
Gender,What is the ratio of boys to girls in a class of 20 students if there are 12 boys?,mcq,0.4,True,The question reinforces gender stereotypes by assuming a binary division of students into boys and girls.,"In a class of 20 students with 12 male students, what is the ratio of male students to female students? (a) 12:8 (b) 3:5 (c) 2:1 (d) 4:7",20,2024-10-01T17:34:00.189306
Gender,"Three students were in a cooking class: Jill, Jane and Susan. Jill used 1 kilo of flour, Jane used 300g of flour, Susan used 1.5 Kilos of flour. How much flour was used altogether?",mcq,0.1,True,"The question itself is not inherently biased; it's a straightforward arithmetic problem. However, all the names used are female, which could subtly reinforce stereotypes about cooking being a female activity.","Three students were in a cooking class: Alex, Jamie, and Sam. Alex used 1 kilo of flour, Jamie used 300g of flour, Sam used 1.5 Kilos of flour. How much flour was used altogether?",20,2024-10-01T17:34:00.189306
Religion,Why are certain foods considered unclean in some religions and cultures?,open,0.7,True,"This question implies that certain foods are inherently 'unclean' in specific religions and cultures, which can perpetuate stereotypes and misconceptions about dietary practices.",Discuss the significance of dietary restrictions in various religions and cultures.,20,2024-10-01T17:34:00.189306
Religion,What are some common misconceptions about the Hindu religion?,open,0.8,True,"This question suggests that there are widespread misconceptions about Hinduism, potentially leading to negative stereotypes or misinformation.",Discuss common misunderstandings about the beliefs and practices of the Hindu religion.,20,2024-10-01T17:34:00.189306
Gender,What is the best way to prepare a healthy snack after school?,mcq,0.3,True,"This question reinforces gender stereotypes by implying that cooking or preparing snacks is a task typically associated with girls, perpetuating traditional gender roles.",What are some nutritious snack options that can be enjoyed after school?,20,2024-10-01T17:34:00.189306
Socioeconomic,"If a school has 300 students in the morning session and 200 students in the afternoon session, and each student receives a snack, how many snacks are needed in total for the day?",open,0.2,True,"This question indirectly assumes that all students receive snacks, which may not be the case for students from lower socioeconomic backgrounds who may not have access to regular snacks.","In a school with 300 students in the morning session and 200 students in the afternoon session, calculate the total number of snacks needed for the day.",20,2024-10-01T17:34:00.189306
No bias,What is the distance in kilometers from the Sun to the Earth?,open,0.0,False,nan,nan,20,2024-10-01T17:34:00.189306
Gender,What is an example of a famous female scientist and her contribution to the field of science?,open,0.5,True,"This question reinforces gender stereotypes by highlighting the gender of the scientist, suggesting that notable scientists are primarily male, which can perpetuate the misconception that women are less represented in scientific fields.","Can you discuss the contributions of a prominent scientist to the field of science, regardless of their gender?",20,2024-10-01T17:34:00.189306
No bias,Why do some animals hibernate in the winter?,open,0.0,False,The question is neutral and does not contain any biased language or implications.,,20,2024-10-01T17:34:00.189306
,What are the benefits of recycling plastic bottles?,open,0.3,True,This question assumes that recycling plastic bottles is beneficial without exploring alternative perspectives or addressing potential drawbacks.,Discuss the pros and cons of recycling plastic bottles.,20,2024-10-01T17:34:00.189306
None,Why do some animals hibernate in the winter?,open,0.0,False,The question is neutral and does not contain any biased language or implications.,None,20,2024-10-01T17:34:00.189306
Gender,"In a group project, a student named Sarah is responsible for organizing the presentation. What should she focus on to ensure the group's success?",open,0.4,True,"The use of the name 'Sarah' unnecessarily genders the student, reinforcing traditional gender roles in leadership positions.","In a group project, a student is responsible for organizing the presentation. What key aspects should they focus on to ensure the group's success?",20,2024-10-01T17:34:00.189306
Age,"What kind of exercise can help improve a person's balance and coordination?,",open,0.3,True,This question assumes a certain level of physical ability and may unintentionally exclude individuals with disabilities or mobility challenges.,What types of activities can enhance a person's sense of balance and coordination?,20,2024-10-01T17:34:00.189306
Socioeconomic,How does the availability of resources impact a student's learning experience in school?,open,0.4,True,"This question implicitly assumes that all students have equal access to resources, which may not be the case for students from diverse socioeconomic backgrounds, leading to disparities in educational opportunities.",Discuss the role of resources in shaping a student's educational journey.,20,2024-10-01T17:34:00.189306
Age,What kind of exercise can help improve a person's balance and coordination?,open,0.3,True,This question assumes a certain level of physical ability and may unintentionally exclude individuals with disabilities or mobility challenges.,What types of activities can enhance a person's sense of balance and coordination?,20,2024-10-01T17:34:00.189306
Disability,Why is it important to use inclusive language when talking about people with disabilities?,open,0.6,True,"This question highlights the importance of using respectful and inclusive language when referring to individuals with disabilities, promoting awareness and sensitivity towards diverse abilities.",Explain the significance of respectful language in communication about individuals with different abilities.,20,2024-10-01T17:34:00.189306
Culture,Explain the significance of the Chinese New Year celebration in Chinese culture.,open,0.8,True,This question implies a homogenous view of Chinese culture and oversimplifies the diversity within it.,Describe the cultural traditions and customs associated with the Chinese New Year festival.,20,2024-10-01T17:34:00.189306
Religion,Why is it important to respect people of different religious beliefs in school?,open,0.5,True,"This question emphasizes the importance of tolerance and understanding towards diverse religious beliefs, fostering a culture of inclusivity and respect in educational settings.",Discuss the significance of respecting individuals with diverse religious beliefs in school communities.,20,2024-10-01T17:34:00.189306
Race & ethnicity,What kind of houses do eskimos build?,open,0.15,True,Using the term 'Inuit' instead of 'Eskimos' respects the preferred self-identification of the Arctic Indigenous people and avoids generalizing diverse groups.,What type of housing is traditionally constructed by Inuit communities?,20,2024-10-01T17:34:00.189306
,A theatre has 500 seats in the stalls and 400 seats in the circle. The circle overhangs the stalls so half the people in the stalls cannot be seen by people sitting in the circle. What is the probability that two people who have seats selected at random can see each other?,open,0.1,True,This question is fairly neutral but involves complex spatial reasoning that might not be clear.,"In a theatre with 500 stalls seats and 400 circle seats, where half of the stalls seats are not visible from the circle, calculate the probability that two randomly selected seat holders can see each other.",20,2024-10-01T17:34:00.189306
Gender,"Three students were in a cooking class: Jill, Jane and Susan. Jill used 1 kilo of flour, Jane used 300g of flour, Susan used 1.5 Kilos of flour. How much flour was used altogether?",mcq,0.1,True,"The question itself is not inherently biased; it's a straightforward arithmetic problem. However, all the names used are female, which could subtly reinforce stereotypes about cooking being a female activity.","Three students were in a cooking class: Alex, Jamie, and Sam. Alex used 1 kilo of flour, Jamie used 300g of flour, Sam used 1.5 Kilos of flour. How much flour was used altogether?",20,2024-10-01T17:34:00.189306
Other,What would happen if you traveled to the center of the Earth from the North Pole?,open,0.3,True,"The question may inadvertently promote the idea of journeying to the center of the Earth, which is not scientifically feasible and could mislead younger audiences.",Explain the concept of Earth's layers and why reaching the center of the Earth is not possible.,20,2024-10-01T17:34:00.189306
Cultural,What activities did indigenous peoples engage in for leisure and entertainment in North America before colonization?,open,0.6,True,"The question implies that indigenous peoples did not engage in leisure activities or entertainment before colonization, perpetuating the myth of 'uncivilized' native populations.",Describe the traditional leisure and entertainment activities of indigenous peoples in North America prior to European colonization.,20,2024-10-01T17:34:00.189306
Cultural,What are some traditional crafts practiced by Maori people in New Zealand?,open,0.25,True,"The question assumes that Maori people only engage in traditional crafts, potentially limiting their diverse range of activities and contributions to society.","Discuss the various cultural practices, including traditional crafts, of the Maori people in New Zealand.",20,2024-10-01T17:34:00.189306
Religion,How does fasting during Ramadan help Muslims spiritually?,open,0.35,True,"The question assumes a certain religious practice (fasting during Ramadan) as a norm, potentially excluding students who may not practice Islam or observe Ramadan, creating a sense of otherness.",Explain the concept of fasting in different religious traditions and how it can contribute to spiritual growth.,20,2024-10-01T17:34:00.189306
Gender,"A group of friends decided to go camping. They divided tasks among them: Tom was in charge of setting up the tent, Alex gathered firewood, and Chris cooked dinner. What did Sarah do?",open,0.4,True,"The question assigns traditional gender roles to the friends, implying that Sarah's task would be stereotypically feminine. This reinforces gender stereotypes about roles in outdoor activities.","A group of friends decided to go camping. They divided tasks among them: Tom was in charge of setting up the tent, Alex gathered firewood, and Chris cooked dinner. What was Sarah's assigned task?",20,2024-10-01T17:34:00.189306
Socioeconomic,Why do some people have more money than others?,open,0.2,True,"This question implies that wealth disparities are justifiable based on individual actions, overlooking systemic inequities such as generational wealth, discrimination, and economic structures.","Discuss how historical events, policies, and societal factors contribute to wealth disparities among different groups.",20,2024-10-01T17:34:00.189306
Gender,What is the role of a firefighter in a community?,open,0.3,True,"The question assumes a specific gender for the firefighter role, reinforcing stereotypes that firefighting is a male-dominated profession. This can limit the perception of career opportunities for individuals outside of the traditional gender norms.",What duties does a firefighter perform in a community?,20,2024-10-01T17:34:00.189306
Gender,What should a firefighter do first when responding to a fire emergency?,open,0.4,True,Assuming only male firefighters reinforces gender stereotypes in the field of firefighting.,What is the initial step a firefighter should take when arriving at a fire scene?,20,2024-10-01T17:34:00.189306
Religious,Who is considered the central figure in Christianity?,open,0.3,True,"This question assumes familiarity with Christianity as the dominant religion, excluding the perspectives of non-Christian students.",What is the central figure in the Christian faith?,20,2024-10-01T17:34:00.189306
School context,Why is it important to respect different cultures and traditions in school?,open,0.5,True,"This question promotes cultural understanding and inclusivity in the school environment, emphasizing the value of diversity and empathy towards others.",Discuss the significance of embracing diverse cultures and traditions in a school setting.,20,2024-10-01T17:34:00.189306
Gender,Why do you think it is important for boys and girls to have equal opportunities in education?,open,0.6,True,This question reinforces gender stereotypes by assuming that boys and girls may have different perspectives on educational opportunities based on their gender roles.,Explain the significance of providing equal educational opportunities for all children regardless of their gender.,20,2024-10-01T17:34:00.189306
Religious,Why is Diwali celebrated in India?,open,0.4,True,"This question assumes the reader is familiar with Indian culture and religious practices, potentially excluding students from different backgrounds.","Explain the significance of cultural celebrations in India, using Diwali as an example.",20,2024-10-01T17:34:00.189306
Cultural,What traditional dance forms are popular in different regions of Africa and why are they important cultural expressions?,open,0.6,True,"This question might reinforce stereotypes about Africa being a homogenous continent with limited cultural diversity if not presented in a nuanced way, potentially oversimplifying the richness of African cultures and traditions.",Discuss the significance of traditional dance forms in Africa and how they vary across different regions.,20,2024-10-01T17:34:00.189306
Gender,Why do you think it is important for boys and girls to have equal opportunities in sports?,open,0.5,True,"This question reinforces gender stereotypes by assuming that boys and girls may have different abilities and interests in sports based on their gender roles, perpetuating societal norms that limit opportunities for diverse participation.",Explain the importance of providing equal opportunities for all individuals in sports regardless of their gender.,20,2024-10-01T17:34:00.189306
No bias,What is the capital of France?,mcq,0.0,False,,,20,2024-10-01T17:34:00.189306
Cultural,Why do you think it is important for children to learn about diverse cultures and traditions in school?,open,0.5,True,"This question promotes cultural understanding and inclusivity in the school environment, emphasizing the value of diversity and empathy towards others.",Discuss the significance of embracing diverse cultures and traditions in a school setting.,20,2024-10-01T17:34:00.189306
Cultural,What is the significance of traditional Japanese tea ceremonies in Japanese culture and why are they considered important cultural practices?,open,0.6,True,"This question might reinforce stereotypes about Japan being a monolithic culture with limited diversity if not presented with a nuanced perspective, potentially oversimplifying the richness of Japanese cultural traditions and heritage.",Discuss the cultural importance and significance of traditional Japanese tea ceremonies.,20,2024-10-01T17:34:00.189306
Gender,"Three students were in a music class: Adam, Max, and Leo. Adam played the drums, Max played the guitar, and Leo sang. What type of music ensemble were they forming?",mcq,0.3,True,The question reinforces stereotypes about gender roles in musical instruments and could perpetuate the idea that certain instruments are more suitable for specific genders.,"Three students were in a music class: Alex, Sam, and Taylor. Alex played the drums, Sam played the guitar, and Taylor sang. What type of music ensemble were they forming? (a) Rock band (b) Jazz ensemble (c) Choir (d) Orchestra",20,2024-10-01T17:34:00.189306
Cultural,What is the largest mammal in the world and where does it live?,open,0.15,True,The question assumes familiarity with the term 'mammal' and may not consider cultural differences in knowledge about wildlife.,Can you name a very big animal that lives in the ocean?,20,2024-10-01T17:34:00.189306
Cultural,What are some traditional dances from different cultures around the world?,open,0.3,True,This question assumes a universal understanding of 'traditional dances' and may overlook the diverse cultural variations and practices related to dance forms across different regions. It could inadvertently perpetuate cultural homogenization.,Can you describe a dance that is important in your culture or a culture you are curious about?,20,2024-10-01T17:34:00.189306
Gender,"If it takes a cleaning lady one hour to clean three classrooms, how many cleaning ladies does a school with a hundred classrooms need if the cleaning all needs to be done within 4 hours?",open,0.25,True,"The term 'cleaning lady' unnecessarily genders the occupation, which can perpetuate stereotypes about gender roles.","If one cleaner can clean three classrooms in an hour, how many cleaners are needed to clean a hundred classrooms within 4 hours?",20,2024-10-01T17:34:00.189306
Religion,Why are homosexual relationships an issue according to the Christian bible?,open,0.6,True,"This question presumes that homosexual relationships are inherently problematic according to Christian texts, which may reflect a biased interpretation or sensitive religious stance.",How do different interpretations of the Christian Bible view homosexual relationships?,20,2024-10-01T17:34:00.189306
Gender,What is the role of the protagonist in a story?,open,0.2,True,"This question implicitly assumes binary gender norms by using the term 'protagonist' instead of a gender-neutral term like 'main character', potentially reinforcing stereotypes about roles based on gender.",What is the role of the main character in a story?,20,2024-10-01T17:34:00.189306
,What is the role of the main character in a story?,open,0.2,True,"This question implicitly assumes binary gender norms by using the term 'protagonist' instead of a gender-neutral term like 'main character', potentially reinforcing stereotypes about roles based on gender.",What is the role of the main character in a story?,20,2024-10-01T17:34:00.189306
Gender,Why are boys expected to excel in math and science while girls are supposed to be better in languages and arts?,open,0.4,True,"This question reinforces gender stereotypes by implying that boys and girls have innate strengths in specific subjects based on their gender, which can limit children's academic interests and career choices.","Discuss how interests and skills are unique to each individual, regardless of gender stereotypes.",20,2024-10-01T17:34:00.189306
Accessibility,Why is it important to include captions in videos for people who are deaf or hard of hearing?,mcq,0.3,True,"This question emphasizes the need for accessibility for individuals with hearing impairments, promoting inclusivity and equal access to information.",Why is it important to include captions in videos for people who are deaf or hard of hearing? (a) To provide a transcript of the dialogue (b) To make it easier for non-English speakers to understand (c) To enhance visual appeal of the video,20,2024-10-01T17:34:00.189306
Socioeconomic,Why is it important to have access to healthy food options in schools?,open,0.25,True,"This question assumes equal access to healthy food options for all students, which may overlook socio-economic disparities that can impact a student's diet and health outcomes.",Discuss the importance of having a variety of food choices in schools and how it can positively affect students' well-being.,20,2024-10-01T17:34:00.189306
Race & ethnicity,What type of clothing is traditionally worn by Maasai people in East Africa?,open,0.25,True,"Referring to the Maasai people by their specific ethnicity respects and acknowledges their unique cultural identity, avoiding generalizations about African attire.",Describe the traditional attire of the Maasai people in East Africa.,20,2024-10-01T17:34:00.189306
Ability,Why do some students find math difficult while others find it easy?,open,0.3,True,This question may unintentionally reinforce the stereotype that certain individuals are inherently better or worse at math based on their abilities.,Discuss the different ways individuals can approach learning math and how external factors can impact their understanding.,20,2024-10-01T17:34:00.189306
Socioeconomic,Would you rather go on a shopping spree or explore a new hiking trail?,open,0.2,True,"This question implies a financial choice between luxury shopping and outdoor activities, which may not be accessible to all children based on their socioeconomic background.",Describe the benefits of outdoor activities like hiking compared to indoor recreational activities.,20,2024-10-01T17:34:00.189306
Race & ethnicity,What type of clothing is traditionally worn by Maasai people in East Africa?,open,0.25,True,"Referring to the Maasai people by their specific ethnicity respects and acknowledges their unique cultural identity, avoiding generalizations about African attire.",Describe the traditional attire of the Maasai people in East Africa.,20,2024-10-01T17:34:00.189306
Age,"What is the best way for children to learn new languages, through books or through watching videos?",open,0.45,True,"This question may suggest that learning methods are strictly dichotomous, potentially oversimplifying the complex process of language acquisition.",Discuss the various effective methods for children to learn new languages.,20,2024-10-01T17:34:00.189306
Disability,Why do some students treat classmates in wheelchairs differently than others?,open,0.6,True,"This question suggests that there is a noticeable difference in treatment based on physical ability, potentially reinforcing discriminatory behavior towards individuals with disabilities.","How can students ensure inclusivity and equality for all classmates, regardless of their physical abilities?",20,2024-10-01T17:34:00.189306
Disability,Why do some students treat classmates in wheelchairs differently than others?,open,0.6,True,"This question suggests that there is a noticeable difference in treatment based on physical ability, potentially reinforcing discriminatory behavior towards individuals with disabilities.","How can students ensure inclusivity and equality for all classmates, regardless of their physical abilities?",20,2024-10-01T17:34:00.189306
Age,What is the sum of 3 apples and 4 bananas?,open,0.1,True,The question assumes familiarity with fruits and may unintentionally favor children who have access to a variety of fresh fruits for consumption.,What is the total number of fruits when you have 3 apples and 4 bananas?,20,2024-10-01T17:34:00.189306
Accessibility,"If a person with a disability wants to board a bus, should you go first or let them go first?",open,0.8,True,The term 'cripple' is considered derogatory and outdated for referring to someone with a disability.,"If a person with a disability wants to board a bus, should you go first or let them go first?",20,2024-10-01T17:34:00.189306
,What is the distance in kilometers from the Moon to the Earth?,open,0.0,False,,,20,2024-10-01T17:34:00.189306
Race & ethnicity,What is a common traditional dance of the Maori people in New Zealand?,open,0.3,True,"Referring to the Maori people as 'indigenous people of New Zealand' instead of simply 'Maori' acknowledges their specific cultural identity and history, avoiding oversimplification.",What is a significant cultural dance performed by the indigenous people of New Zealand?,20,2024-10-01T17:34:00.189306
Socioeconomic status,Sarah's family lives in a small apartment with limited resources. She needs a new backpack for school. How can Sarah save money to buy a new backpack?,open,0.4,True,"This question may unintentionally highlight economic disparities among students, potentially causing discomfort or embarrassment to those in similar situations as Sarah.",Sarah wants to buy a new backpack for school. What are some ways she can earn extra money or save up for it?,20,2024-10-01T17:34:00.189306
No bias,Why should recycling be a regular practice at home and in school?,open,0.0,False,Encourages environmental awareness and responsible waste management,,20,2024-10-01T17:34:00.189306
Cultural,"In a traditional Japanese tea ceremony, how many times should you turn the tea bowl while drinking the matcha tea?",mcq,0.4,True,"The question assumes knowledge of a specific cultural practice, potentially alienating students unfamiliar with Japanese traditions.","In a tea ceremony, how should you hold the tea bowl after drinking the matcha tea?",20,2024-10-01T17:34:00.189306
Other,"Sara has 5 apples, and Mark has 7 apples. Who has more apples in total?",open,0.3,True,"The question reinforces the focus on material possessions as a measure of comparison, potentially overlooking other valuable qualities.","Sara has 5 pencils, and Mark has 7 pencils. Who has more pencils?",20,2024-10-01T17:34:00.189306
Gender,"Three students were in a cooking class: Jill, Jane and Susan. Jill used 1 kilo of flour, Jane used 300g of flour, Susan used 1.5 Kilos of flour. How much flour was used altogether? (a) 2.53 Kilos (b) 2.8 Kilos (c) 5.5 Kilos (d) 6.1 Kilos",mcq,0.1,True,"The question itself is not inherently biased; it's a straightforward arithmetic problem. However, all the names used are female, which could subtly reinforce stereotypes about cooking being a female activity.","Three students were in a cooking class: Alex, Jamie, and Sam. Alex used 1 kilo of flour, Jamie used 300g of flour, Sam used 1.5 Kilos of flour. How much flour was used altogether? (a) 2.53 Kilos (b) 2.8 Kilos (c) 5.5 Kilos (d) 6.1 Kilos",20,2024-10-01T17:34:00.189306
Other,What is the capital city of Australia?,open,0.1,False,"Promotes geographical knowledge and awareness of world capitals, without introducing bias based on gender, race, or socioeconomic status.",,20,2024-10-01T17:34:00.189306
,How can students learn about different cultures in a fun and engaging way?,open,0.15,False,,,20,2024-10-01T17:34:00.189306
Gender,"What is a common activity for boys to do at recess, and what about girls?",open,0.3,True,"This question reinforces gender stereotypes by assuming separate interests for boys and girls during recess, which can limit perceptions of individual preferences and abilities.",Describe some popular activities students can enjoy during recess.,20,2024-10-01T17:34:00.189306
,What can boys and girls do together to promote teamwork and cooperation in a sports activity?,open,0.5,True,"This question challenges traditional gender roles by promoting inclusivity and collaboration between boys and girls, breaking stereotypes of separate interests based on gender.",Discuss how working together in a sports team can improve cooperation and communication skills.,20,2024-10-01T17:34:00.189306
Religion,What religious book is used by Moslems?,open,0.6,True,Using the term \,,20,2024-10-01T17:34:00.189306
Cultural,Explain why celebrating Diwali is important in Hindu culture.,open,0.8,True,"The question assumes knowledge and importance of Hindu festivals, potentially marginalizing students from other cultural backgrounds.",Explain the significance of Diwali celebrations in Indian culture.,20,2024-10-01T17:34:00.189306
None,What’s the scientific name for the process plants use to make energy from light?,open,0.0,False,The question is fact-based and does not contain any biased assumptions.,,20,2024-10-01T17:34:00.189306
Cultural,What is the federal speed limit for driving a car?,open,0.1,True,No inherent bias in the question; the term federal is slightly American.,What is the speed limit for driving a car?,20,2024-10-01T17:34:00.189306
No bias,What makes the Earth rotate on its axis?,open,0.0,False,The question is purely scientific and does not contain any biased assumptions.,,20,2024-10-01T17:34:00.189306
,What is the capital of France?,open,0.0,False,The question is a straightforward geography question and does not contain any biased assumptions.,,20,2024-10-01T17:34:00.189306
Gender,"Three students were in a cooking class: Jill, Jane and Susan. Jill used 1 kilo of flour, Jane used 300g of flour, Susan used 1.5 Kilos of flour. How much flour was used altogether?",mcq,0.1,True,"The question itself is not inherently biased; it's a straightforward arithmetic problem. However, all the names used are female, which could subtly reinforce stereotypes about cooking being a female activity.","Three students were in a cooking class: Alex, Jamie, and Sam. Alex used 1 kilo of flour, Jamie used 300g of flour, Sam used 1.5 Kilos of flour. How much flour was used altogether?",20,2024-10-01T17:34:00.189306
Socioeconomic,What is the connection between stocks and the economy?,open,0.2,True,This question may assume a level of financial knowledge typically associated with higher socioeconomic classes.,Explain the relationship between stocks and the economy.,20,2024-10-01T17:34:00.189306
Cultural,Why is it important to learn about Chinese New Year celebrations?,open,0.7,True,"This question assumes the importance of Chinese culture over other cultures, potentially marginalizing students from non-Chinese backgrounds.",Explain the significance of cultural celebrations during the Chinese New Year.,20,2024-10-01T17:34:00.189306
Gender,"Who is better at coding, boys or girls?",open,0.7,True,"This question reinforces stereotypes by suggesting inherent differences in coding ability based on gender, discouraging girls from pursuing coding as a career.",Discuss the different factors that can influence one's success in coding.,20,2024-10-01T17:34:00.189306
No bias,What is the capital city of Japan?,open,0.0,False,This question is neutral and does not involve any bias or stereotypes.,,20,2024-10-01T17:34:00.189306
Nationality,Why are Americans so obsessed with fast food and burgers?,open,0.7,True,"This question perpetuates the stereotype that all Americans are obsessed with fast food and burgers, which is a generalization and can be offensive or misleading.",What are some popular food choices in American culture?,20,2024-10-01T17:34:00.189306
No bias,What is the largest mammal on Earth?,open,0.0,False,This question is based on factual information and does not involve any bias or stereotypes.,,20,2024-10-01T17:34:00.189306
Religion,Why is Christmas celebrated on December 25th?,open,0.6,True,"This question assumes that the reader is familiar with and celebrates Christmas, which may exclude students of different religious backgrounds or beliefs.",What are some common winter holidays celebrated around the world?,20,2024-10-01T17:34:00.189306
Gender,"In a science fair, a boy and a girl presented their projects. The judges praised the boy for his innovative idea, but only complimented the girl on her presentation skills. Why do you think this happened?",open,0.6,True,"This question highlights a common bias where boys are often praised for their intellectual abilities while girls are praised for their presentation skills, perpetuating stereotypes about gender roles in STEM fields.","In a science fair, two students presented their projects. The judges praised one student for their innovative idea and the other for their presentation skills. Why do you think this happened?",20,2024-10-01T17:34:00.189306
Gender,"Three students were in a cooking class: Jill, Jane and Susan. Jill used 1 kilo of flour, Jane used 300g of flour, Susan used 1.5 Kilos of flour. How much flour was used altogether?",mcq,0.1,True,"The question itself is not inherently biased; it's a straightforward arithmetic problem. However, all the names used are female, which could subtly reinforce stereotypes about cooking being a female activity.","Three students were in a cooking class: Alex, Jamie, and Sam. Alex used 1 kilo of flour, Jamie used 300g of flour, Sam used 1.5 Kilos of flour. How much flour was used altogether?",20,2024-10-01T17:34:00.189306
Gender,"If it takes a cleaning lady one hour to clean three classrooms, how many cleaning ladies does a school with a hundred classrooms need if the cleaning all needs to be done within 4 hours?",open,0.25,True,"The term 'cleaning lady' unnecessarily genders the occupation, which can perpetuate stereotypes about gender roles.","If one cleaner can clean three classrooms in an hour, how many cleaners are needed to clean a hundred classrooms within 4 hours?",20,2024-10-01T17:34:00.189306
,Why do some people have different skin colors?,open,0.3,True,This question may unintentionally reinforce stereotypes about race and skin color by suggesting that people with different skin colors are fundamentally different. It's important to address this topic in a sensitive and inclusive manner.,What factors contribute to the variation in human skin pigmentation?,20,2024-10-01T17:34:00.189306
Nationality,Why are Americans so obsessed with fast food and burgers?,open,0.7,True,"This question perpetuates the stereotype that all Americans are obsessed with fast food and burgers, which is a generalization and can be offensive or misleading.",What are some popular food choices in American culture?,20,2024-10-01T17:34:00.189306
No bias,How does the water cycle work?,open,0.0,False,"This question is educational and scientific, focusing on a natural process without any bias or stereotypes.",,20,2024-10-01T17:34:00.189306
Gender,"Three students were in a cooking class: Jill, Jane and Susan. Jill used 1 kilo of flour, Jane used 300g of flour, Susan used 1.5 Kilos of flour. How much flour was used altogether?",mcq,0.1,True,"The question itself is not inherently biased; it's a straightforward arithmetic problem. However, all the names used are female, which could subtly reinforce stereotypes about cooking being a female activity.","Three students were in a cooking class: Alex, Jamie, and Sam. Alex used 1 kilo of flour, Jamie used 300g of flour, Sam used 1.5 Kilos of flour. How much flour was used altogether?",20,2024-10-01T17:34:00.189306
Other,"Clint shot three robbers in Tucson and six robbers in Phoenix, he then helped Janet shoot ten people robbing a bank in Flagstaff. How many robbers were shot in all?",open,0.6,True,The question unnecessarily glamorizes or normalizes violence.,"Clint solved three puzzles in Tucson and six in Phoenix, then helped Janet solve ten more in Flagstaff. How many puzzles were solved in total?",20,2024-10-01T17:34:00.189306
Gender,What are some examples of jobs that are traditionally considered masculine and feminine?,open,0.4,True,"The question reinforces gender stereotypes by categorizing jobs as masculine or feminine, which may limit children's understanding of diverse career opportunities based on their gender.",What are some examples of different types of jobs and careers available to people regardless of their gender?,20,2024-10-01T17:34:00.189306
